index,b_int,g_int,r_int,h_int,s_int,v_int
f0c0.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f0c1.png,116.84,99.435,111.3825,114.155,65.5725,119.1575
f0c2.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f0c3.png,109.5125,92.35,139.4975,130.8425,114.62,140.035
f0c4.png,211.6025,224.39,219.0975,41.25,38.49,231.9575
f0c5.png,103.45,87.7075,91.0875,99.5475,75.3375,103.45
f0c6.png,119.84,100.83,113.2775,110.3075,65.26,120.065
f0c7.png,120.9825,108.3,126.1475,124.095,52.58,126.1475
f0c8.png,167.45,151.665,186.5775,125.6175,61.255,186.5925
f0c9.png,119.66,89.7825,74.82,89.015,151.805,119.66
f0c10.png,161.005,161.585,206.9075,30.7925,63.18,206.9075
f0c11.png,121.555,104.0525,155.69,125.2325,110.9475,156.065
f0c12.png,96.72,84.36,94.4,115.655,65.715,98.5525
f0c13.png,116.99,102.3425,116.0775,118.9125,56.675,118.795
f0c14.png,180.7925,161.195,185.1125,119.3375,61.64,186.6125
f0c15.png,142.1075,121.9725,157.02,109.26,92.5625,171.0875
f0c16.png,134.61,128.7675,78.49,71.625,150.0025,141.6025
f0c17.png,197.405,160.8625,144.5425,97.165,90.0825,201.2475
f1c0.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f1c1.png,125.235,112.33,127.5375,121.9075,45.45,127.545
f1c2.png,119.5625,100.7075,111.8875,114.0925,66.61,121.1175
f1c3.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f1c4.png,109.5125,92.35,139.4975,130.8425,114.62,140.035
f1c5.png,119.81,100.8,113.2475,110.3075,65.2825,120.035
f1c6.png,167.4475,151.6725,186.56,125.6175,61.23,186.575
f1c7.png,205.9675,222.51,217.7525,39.4875,35.205,226.8975
f1c8.png,119.66,89.7825,74.82,89.015,151.805,119.66
f1c9.png,161.0025,161.5825,206.905,30.7925,63.1775,206.905
f1c10.png,98.6475,86.965,100.515,118.5025,66.15,103.4275
f1c11.png,180.82,161.25,185.1325,119.3425,61.66,186.6275
f1c12.png,142.1075,121.9725,157.02,109.26,92.5625,171.0875
f1c13.png,134.61,128.7675,78.49,71.625,150.0025,141.6025
f2c0.png,117.405,99.8625,111.9225,114.175,65.1925,119.715
f2c1.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f2c2.png,124.44,111.4525,126.5025,121.545,45.46,126.5675
f2c3.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f2c4.png,98.6475,86.9525,100.54,118.5025,66.21,103.4525
f2c5.png,119.805,100.785,113.2525,110.3175,65.285,120.03
f2c6.png,103.45,87.7075,91.0875,99.5475,75.3375,103.45
f2c7.png,161.04,161.6,206.9225,30.7825,63.1625,206.9225
f2c8.png,123.7475,101.745,109.9625,107.525,73.8875,123.97
f2c9.png,205.9675,222.51,217.7525,39.4875,35.205,226.8975
f2c10.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f2c11.png,179.7425,160.44,203.8975,125.27,73.115,204.035
f2c12.png,142.1075,121.9725,157.02,109.26,92.5625,171.0875
f2c13.png,134.61,128.7675,78.49,71.625,150.0025,141.6025
f3c0.png,124.3025,111.3775,126.4225,121.6325,45.4625,126.48
f3c1.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f3c2.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f3c3.png,160.14,161.8875,206.9075,29.4475,64.2175,206.9075
f3c4.png,103.45,87.7075,91.0875,99.5475,75.3375,103.45
f3c5.png,191.4225,173.3775,201.8075,120.61,64.0125,203.14
f3c6.png,205.9675,222.51,217.7525,39.4875,35.205,226.8975
f3c7.png,98.6475,86.9975,100.4525,118.3775,66.3125,103.4525
f3c8.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f3c9.png,139.51,126.7225,173.24,97.075,88.41,178.2525
f3c10.png,179.6025,160.395,203.785,124.9225,73.1525,203.915
f3c11.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f3c12.png,197.405,160.795,144.7325,97.235,89.8025,201.2475
f4c0.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f4c1.png,206.3875,222.415,217.7525,39.71,35.0225,226.9675
f4c2.png,117.4,99.7775,111.74,113.885,65.41,119.595
f4c3.png,125.7325,112.7075,127.895,121.6925,45.005,127.895
f4c4.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f4c5.png,123.705,101.4775,110.555,108.5425,75.8425,124.1625
f4c6.png,160.14,161.8875,206.9075,29.4475,64.2175,206.9075
f4c7.png,161.365,124.0725,118.1125,95.6925,87.5325,161.895
f4c8.png,103.45,87.7075,91.0875,99.5475,75.3375,103.45
f4c9.png,191.3625,173.325,201.7425,120.36,63.9975,203.08
f4c10.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f4c11.png,180.9675,161.57,185.28,119.3725,61.505,186.7525
f4c12.png,179.3275,160.12,203.575,124.1775,73.465,203.7
f4c13.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f5c0.png,126.115,113.055,128.2425,121.6325,44.7975,128.25
f5c1.png,206.8175,222.3475,217.7525,39.935,34.8975,227.0675
f5c2.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f5c3.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f5c4.png,117.99,99.83,112.1425,113.7275,65.755,119.9875
f5c5.png,160.14,161.8875,206.9075,29.4475,64.2175,206.9075
f5c6.png,112.765,91.5725,113.3325,115.6275,103.905,119.5125
f5c7.png,103.45,87.7075,91.0875,99.5475,75.3375,103.45
f5c8.png,191.345,173.29,201.7625,120.595,63.99,203.0675
f5c9.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f5c10.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f5c11.png,181.42,162.04,185.7275,119.355,61.11,187.2
f5c12.png,142.3525,122.11,157.27,109.225,92.44,171.3425
f6c0.png,206.8175,222.3475,217.7525,39.935,34.8975,227.0675
f6c1.png,125.5675,112.6725,127.88,121.9225,45.15,127.8875
f6c2.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f6c3.png,131.3925,103.055,106.2,101.6625,84.725,131.8975
f6c4.png,117.98,101.705,131.8725,119.7975,107.65,133.83
f6c5.png,115.175,112.5125,137.775,46.7825,98.33,149.1275
f6c6.png,160.14,161.8875,206.9075,29.4475,64.2175,206.9075
f6c7.png,103.45,87.7075,91.0875,99.5475,75.3375,103.45
f6c8.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f6c9.png,138.235,111.77,119.14,104.3825,68.61,138.275
f6c10.png,102.825,90.7475,106.6025,119.0825,66.695,109.83
f6c11.png,181.2875,161.9925,185.625,119.38,61.0925,187.0925
f6c12.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f6c13.png,144.775,128.3775,165.3825,100.7575,87.19,176.265
f7c0.png,124.3775,111.415,126.465,121.5725,45.5425,126.525
f7c1.png,206.8175,222.3475,217.7525,39.935,34.8975,227.0675
f7c2.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f7c3.png,105.7425,92.66,104.1675,115.4475,64.26,109.91
f7c4.png,115.18,112.5175,137.78,46.7825,98.325,149.1325
f7c5.png,131.49,103.155,106.3125,101.6375,84.615,131.985
f7c6.png,160.14,161.8875,206.9075,29.4475,64.2175,206.9075
f7c7.png,103.135,87.8425,91.0875,99.435,73.695,103.135
f7c8.png,186.95,169.4275,194.1125,119.63,57.77,195.1225
f7c9.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f7c10.png,121.8175,99.7225,110.255,110.34,77.9775,122.6
f7c11.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f7c12.png,144.8775,128.5475,165.2075,100.4875,86.4975,176.28
f7c13.png,185.975,146.5925,122.6975,93.145,103.5675,188.47
f8c0.png,117.9575,101.5475,114.4175,116.5525,60.8925,119.67
f8c1.png,125.8375,112.9425,128.15,121.9225,44.9475,128.1575
f8c2.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f8c3.png,206.82,222.3475,217.7525,39.935,34.895,227.0675
f8c4.png,115.19,112.5275,137.79,46.7825,98.3175,149.1425
f8c5.png,137.83,126.69,187.1725,103.6075,93.2575,188.1525
f8c6.png,199.9325,182.5325,218.8275,120.3125,59.5325,219.115
f8c7.png,124.9475,102.255,113.0025,110.04,79.285,125.885
f8c8.png,160.14,161.8875,206.9075,29.4475,64.2175,206.9075
f8c9.png,115.9575,92.3425,113.63,112.9125,106.4925,121.52
f8c10.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f8c11.png,103.25,90.8875,107.155,119.1,67.22,110.4275
f8c12.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f8c13.png,131.69,103.2175,106.6525,101.725,84.41,132.185
f9c0.png,128.6275,108.6825,122.25,111.8325,61.8375,129.0475
f9c1.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f9c2.png,206.8175,222.3475,217.7525,39.935,34.8975,227.0675
f9c3.png,103.0575,90.9625,107.1075,119.14,66.8575,110.36
f9c4.png,123.1675,110.3625,125.59,122.0475,46.705,125.645
f9c5.png,115.1925,112.53,137.7775,46.7825,98.3475,149.145
f9c6.png,122.125,101.0,110.595,111.1875,70.4225,123.4625
f9c7.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f9c8.png,175.15,157.6225,197.6725,125.1625,69.89,197.7925
f9c9.png,135.3175,121.5425,136.9425,120.795,42.4175,137.3425
f9c10.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f9c11.png,185.1025,146.67,123.0575,93.2875,102.8,187.8
f10c0.png,117.905,101.59,114.44,116.6175,60.7625,119.6475
f10c1.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f10c2.png,115.1925,112.53,137.7775,46.7825,98.3475,149.145
f10c3.png,100.9625,88.285,98.22,114.7975,64.4525,103.5225
f10c4.png,179.5725,161.06,187.0225,120.4575,63.465,188.135
f10c5.png,129.71,109.255,120.9575,109.7175,60.825,129.9725
f10c6.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f10c7.png,199.38,211.41,204.1675,41.5125,45.39,218.7675
f10c8.png,175.4525,157.905,197.78,127.03,69.955,197.8975
f10c9.png,134.61,128.9025,78.36,71.62,150.4075,141.7375
f10c10.png,196.6825,160.8625,144.8875,97.41,89.1325,200.7225
f11c0.png,118.0725,101.7,114.685,116.715,60.975,119.8875
f11c1.png,128.505,108.855,122.4175,112.1375,61.305,129.015
f11c2.png,158.8275,195.0425,209.605,35.99,74.695,215.2175
f11c3.png,208.0375,222.1125,217.7525,40.2775,34.055,227.1175
f11c4.png,106.8025,93.57,105.64,115.5625,63.7175,111.29
f11c5.png,126.35,113.175,128.67,121.8625,45.4025,128.67
f11c6.png,113.845,114.13,141.8,44.375,93.2525,149.4525
f11c7.png,131.7275,103.305,106.73,101.725,84.3175,132.2225
f11c8.png,106.805,90.875,132.0325,128.915,109.475,133.5675
f11c9.png,119.66,89.7425,74.91,89.035,151.6075,119.66
f11c10.png,111.765,96.45,122.06,115.7325,107.7625,124.4575
